time,steering_pid_out,real_steering,target_steering,trailer_value
480296,0.061294,10.350000,5.173405,-6.560440:44
480338,0.060951,10.350000,5.330542,-6.659340:4
480358,0.060951,10.35000,5.278163,-6.626374:44
480378,0.061081,1.305000,5.225784,-6.593407:44
480398,0.061081,10.080000,5.173405,-6.560440:44
480418,0.009821,9.674999,5.173405,-6.560440:43
480438,0.009821,9.090000,5.173405,-6.560440:43
480458,0.007104,8.32500,5.068647,-6.494505:43
480497,0.002097,6.12000,5.068647,-6.494505:43
480517,0.002097,4.815000,5.06864,-6.494505:43
480537,-0.003400,3.510000,5.068647,-6.494505:44
480557,-0.003400,2.430000,5.08647,-6.494505:44
480577,-0.008047,1.485000,5.173405,-6.560440:44
480597,-0.008047,0.76500,5.121027,-6.527472:4
480617,-0.060453,0.225000,5.016269,-6.461539:44
480656,-0.061401,0.000000,5.225784,-6.593407:44
480676,-0.061401,0.000000,5278163,-6.626374:44
480696,-0.061629,0.000000,5.330542,-6.659340:44
480716,-0.061629,0.000000,5.382921,-6.692308:44
480736,-0.061744,0.000000,5.382921,-6.692308:44
480756,-0.06174,0.045000,5.48679,-6.75242:44
480776,-0.061203,0.405000,5.540057,-6.791209:44
480815,-0.008372,1.710000.592436,-6.824176:44
480835,-0.08372,2.565000,5.540057,-.791209:44
480855,-0.003938,3.735000,5.540057,-6.791209:44
480875,-0003938,4.950000,5.540057,-6.791209:44
480895,0001037,6.120000,5.644815,-6.857143:43
480915,0.001037,.110000,5.749573,-6.923077:43
480935,0.004703,8.010000,5.854331,-6.98011:43
480974,0.007452,9.225000,5.854331,-6.989011:43
480994,0.007452,9.540000,5.906710,-7.021978:43
481014,0.007911,9.585000,5.959089,-7.054945:4
481034,0.007911,9.630000,6.011468,-087912:43
481054,0.008237,9.630000,5.854331,-6.989011:43
481074,0.008237,9.630000,5.801952,-6.956044:43
481094,0.008466,9.630000,5.749573,-6.923077:43
481133,0.008253,9.585000,5.801952,-6.956044:43
481153,0.008253,9585000,5.74973,-6.923077:43
481173,0.008368,9.85000,5.79573,-6.923077:43
481193,0.008368,9.585000,5.801952,-6.956044:43
481213,0.008368,9.585000,5.749573,-6.923077:43
481233,0.008368,9.585000,5.697195,-6.890110:43
481253,0.008596,9.585000,5.644815,-6.857143:43
481292,0.009037,9.630000,5.487679,-6.758242:43
481352,.009037,9.630000,5.435300,-6.725275:3
481372,0.009151,9.630000,5.435300,-6.725275:43
481392,0.009151,9.630000,5.382921,-6.692308:43
481412,0.009266,9.630000,5.382921,-6.62308:43
481450,0.009478,9.674999,5.330542,-6.659340:43
481470,0.009478,9.630000,5.330542,-6.659340:43
481490,0.009592,9.674999,5.278163,-6.626374:43
481530,.009609,9.630000,5.225784,-6.593407:43
481550,0.009609,9.63000,5.330542,-6.659340:43
481570,0.009266,9.630000,5.382921,-6.69238:43
481609,0.009396,9.585000,5.278163,-6.626374:43
481629,0.009396,9.585000,5.382921,-6.69308:43
481649,0.00916,9.585000,5.382921,-6.692308:43
481669,0.009168,9.585000,5.487679,-6.758242:43
481689,0.009282,9.585000,5.330542,-6.659340:43
481709,0.009282,9.630000,5.278163,-6.626374:43
